2018-01-06 13:44:36.0296 ERROR  Session [SessionKey[3105732a-aeef-4928-afda-3e65ee415fd3], RemoteEndPoint[192.168.1.4:48300], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 13:44:36.1296 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:44:36.3396 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:45:18.2053 ERROR  Session [SessionKey[f2e613bc-b2ea-45fe-ac5d-0e625eb9196e], RemoteEndPoint[192.168.1.4:48316], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 13:45:18.2653 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 13:45:18.4753 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 14:00:21.4096 ERROR  Session [SessionKey[9b592a7c-4462-4461-9ff3-a8c7036bfae2], RemoteEndPoint[192.168.1.4:49374], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 14:00:21.5296 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 14:00:21.7496 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 14:01:51.0033 ERROR  Session [SessionKey[0f1dd853-7870-43ba-be7c-4dcaa9d4f571], RemoteEndPoint[192.168.1.4:49476], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 14:01:51.1533 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 14:01:51.3433 ERROR  无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。 
2018-01-06 17:42:09.8564 ERROR  Session [SessionKey[3d6ea8a0-4e5c-40d6-afea-c2e5a68f890f], RemoteEndPoint[192.168.1.4:44614], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 17:42:10.0164 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 20:14:12.4121 ERROR  Session [SessionKey[cc5ab715-c3ff-418c-a55c-28dc6113d334], RemoteEndPoint[192.168.1.4:39322], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 20:14:12.4932 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 20:14:29.1802 ERROR  Session [SessionKey[5d4e8a2a-2cd8-491c-aa65-b4fbc5f45588], RemoteEndPoint[192.168.1.4:39336], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 20:14:29.3427 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 20:14:47.7658 ERROR  Session [SessionKey[6addd1fd-f8bf-4493-a44b-8d1112d1a4d9], RemoteEndPoint[192.168.1.4:39354], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 20:14:47.9358 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 20:19:44.8367 ERROR  Session [SessionKey[b6abf6de-e4f4-43cd-b0f9-6303268cb087], RemoteEndPoint[192.168.1.4:39736], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 20:19:44.9415 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 20:20:13.7999 ERROR  Session [SessionKey[898675cf-7214-498d-9196-166130a0de62], RemoteEndPoint[192.168.1.4:39762], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 20:20:22.7840 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 21:46:00.4233 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 22:05:01.5450 ERROR  Session [SessionKey[3e12f6f9-c6a4-4990-882b-917a33658e6f], RemoteEndPoint[192.168.1.4:39510], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 22:05:01.7027 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 22:08:48.1365 ERROR  Session [SessionKey[1d020f19-e44b-477c-97b0-54696c3a1681], RemoteEndPoint[192.168.1.4:39548], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 22:08:48.2490 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 23:20:18.9177 ERROR  Session [SessionKey[90300de2-1422-4ae1-a61b-abac9c128538], RemoteEndPoint[192.168.1.4:42884], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 23:20:19.4266 ERROR  远程主机强迫关闭了一个现有的连接。 
2018-01-06 23:31:17.4656 ERROR  Session [SessionKey[a9d71928-5ec4-4f1a-b97a-44b83ff5a3ea], RemoteEndPoint[192.168.1.4:43318], LocalEndPoint[0.0.0.0:54321]] exception occurred, [无法从传输连接中读取数据: 远程主机强迫关闭了一个现有的连接。。]. 
2018-01-06 23:31:17.5953 ERROR  远程主机强迫关闭了一个现有的连接。 
